PSTAR: Stopping Powers and Range Tables for Protons

ALUMINUM                                                                

Kinetic   Electron. Nuclear   Total     
Energy    Stp. Pow. Stp. Pow. Stp. Pow. 
MeV       MeV cm2/g MeV cm2/g MeV cm2/g 

3.000E+02 2.772E+00 6.976E-04 2.773E+00 
3.500E+02 2.555E+00 6.027E-04 2.555E+00 
4.000E+02 2.392E+00 5.311E-04 2.393E+00 
4.500E+02 2.266E+00 4.750E-04 2.267E+00 
5.000E+02 2.166E+00 4.299E-04 2.167E+00 
5.500E+02 2.086E+00 3.928E-04 2.086E+00 
6.000E+02 2.019E+00 3.617E-04 2.020E+00 
6.500E+02 1.964E+00 3.353E-04 1.965E+00 
7.000E+02 1.918E+00 3.126E-04 1.918E+00 
7.500E+02 1.878E+00 2.929E-04 1.879E+00 
8.000E+02 1.845E+00 2.755E-04 1.845E+00 
8.500E+02 1.816E+00 2.602E-04 1.816E+00 
9.000E+02 1.790E+00 2.465E-04 1.791E+00 
9.500E+02 1.768E+00 2.342E-04 1.769E+00 
1.000E+03 1.749E+00 2.232E-04 1.750E+00 
1.500E+03 1.647E+00 1.523E-04 1.647E+00 
2.000E+03 1.617E+00 1.162E-04 1.618E+00 
2.500E+03 1.613E+00 9.419E-05 1.613E+00 
3.000E+03 1.619E+00 7.938E-05 1.619E+00 
4.000E+03 1.642E+00 6.062E-05 1.642E+00 
5.000E+03 1.668E+00 4.920E-05 1.668E+00 
6.000E+03 1.692E+00 4.148E-05 1.692E+00 
7.000E+03 1.714E+00 3.592E-05 1.714E+00 
8.000E+03 1.734E+00 3.170E-05 1.734E+00 
9.000E+03 1.752E+00 2.840E-05 1.752E+00 
1.000E+04 1.768E+00 2.574E-05 1.768E+00 
